id;app_name;app_icon;app_icon_content_type
1;knowledge management connect;../fake-data/blob/hipster.png;image/png
2;Fantastic;../fake-data/blob/hipster.png;image/png
3;array Refined;../fake-data/blob/hipster.png;image/png
4;architectures Iowa navigating;../fake-data/blob/hipster.png;image/png
5;infomediaries XSS infrastructures;../fake-data/blob/hipster.png;image/png
6;migration magenta Industrial;../fake-data/blob/hipster.png;image/png
7;scalable Pizza;../fake-data/blob/hipster.png;image/png
8;Bacon Bulgaria;../fake-data/blob/hipster.png;image/png
9;Auto toolset Salad;../fake-data/blob/hipster.png;image/png
10;Guinea;../fake-data/blob/hipster.png;image/png
